粘性,钝度,二维,第1壁面切向角,第2壁面切向角,第3壁面切向角,第4壁面切向角,来流马赫数,喉道高度,喉道马赫数,流量系数,总压恢复系数,比阻,内收缩比,总收缩比,捕获流量
0,0,1,2.845,9.126,15.9,2,4,198.907,2.221,1,0.88,141.7,1.609,3.978,16.8
0,0,1,2.845,9.126,15.9,0,4,198.907,2.198,1,0.847,145.4,1.609,3.978,16.8
0,0,1,2.845,10.126,15.9,10.9,4,198.907,2.245,1,0.919,134.9,1.612,3.978,16.8
0,0,1,2.845,10.126,15.9,8.406,4,198.907,2.251,1,0.928,134.8,1.612,3.978,16.8
0,0,1,2.845,10.126,15.9,6,4,198.907,2.247,1,0.92,136.4,1.612,3.978,16.8
0,0,1,2.845,10.126,15.9,4,4,198.907,2.236,1,0.903,138.6,1.612,3.978,16.8
0,0,1,2.845,10.126,15.9,2,4,198.907,2.22,1,0.877,141.8,1.612,3.978,16.8
0,0,1,2.845,10.126,15.9,0,4,198.907,2.197,1,0.845,145.5,1.612,3.978,16.8
0,0,1,3.845,8.126,15.9,10.9,4,198.907,2.246,1,0.922,134.7,1.609,3.978,16.8
0,0,1,3.845,8.126,15.9,8.406,4,198.907,2.252,1,0.931,134.7,1.609,3.978,16.8
0,0,1,3.845,8.126,15.9,6,4,198.907,2.248,1,0.923,136.2,1.609,3.978,16.8
0,0,1,3.845,8.126,15.9,4,4,198.907,2.237,1,0.906,138.5,1.609,3.978,16.8
0,0,1,3.845,8.126,15.9,2,4,198.907,2.22,1,0.88,141.7,1.609,3.978,16.8
0,0,1,3.845,8.126,15.9,0,4,198.907,2.198,1,0.848,145.4,1.609,3.978,16.8
0,0,1,3.845,9.126,15.9,10.9,4,198.907,2.248,1,0.926,134.4,1.606,3.978,16.8
0,0,1,3.845,9.126,15.9,8.406,4,198.907,2.254,1,0.935,134.3,1.606,3.978,16.8
0,0,1,3.845,9.126,15.9,6,4,198.907,2.25,1,0.927,135.9,1.606,3.978,16.8
0,0,1,3.845,9.126,15.9,4,4,198.907,2.239,1,0.91,138.3,1.606,3.978,16.8
0,0,1,3.845,9.126,15.9,2,4,198.907,2.222,1,0.884,141.4,1.606,3.978,16.8
0,0,1,3.845,9.126,15.9,0,4,198.907,2.2,1,0.851,145.1,1.606,3.978,16.8
0,0,1,3.845,10.126,15.9,10.9,4,198.907,2.248,1,0.926,134.4,1.606,3.978,16.8
0,0,1,3.845,10.126,15.9,8.406,4,198.907,2.255,1,0.935,134.3,1.606,3.978,16.8
0,0,1,3.845,10.126,15.9,6,4,198.907,2.25,1,0.927,135.9,1.606,3.978,16.8
0,0,1,3.845,10.126,15.9,4,4,198.907,2.24,1,0.909,138.3,1.606,3.978,16.8
0,0,1,3.845,10.126,15.9,2,4,198.907,2.223,1,0.883,141.3,1.606,3.978,16.8
0,0,1,3.845,10.126,15.9,0,4,198.907,2.2,1,0.851,145.1,1.606,3.978,16.8
0,0,1,3.845,11.126,15.9,10.9,4,198.907,2.246,1,0.922,134.7,1.61,3.978,16.8
0,0,1,3.845,11.126,15.9,8.406,4,198.907,2.253,1,0.931,134.6,1.61,3.978,16.8
0,0,1,3.845,11.126,15.9,6,4,198.907,2.249,1,0.923,136.1,1.61,3.978,16.8
0,0,1,3.845,11.126,15.9,4,4,198.907,2.238,1,0.905,138.5,1.61,3.978,16.8
0,0,1,3.845,11.126,15.9,2,4,198.907,2.221,1,0.88,141.7,1.61,3.978,16.8
0,0,1,3.845,11.126,15.9,0,4,198.907,2.198,1,0.847,145.3,1.61,3.978,16.8
0,0,1,4.845,8.126,15.9,10.9,4,198.907,2.245,1,0.92,134.9,1.61,3.978,16.8
0,0,1,4.845,8.126,15.9,8.406,4,198.907,2.252,1,0.93,134.7,1.61,3.978,16.8
0,0,1,4.845,8.126,15.9,6,4,198.907,2.248,1,0.922,136.3,1.61,3.978,16.8
0,0,1,4.845,8.126,15.9,4,4,198.907,2.237,1,0.904,138.6,1.61,3.978,16.8
0,0,1,4.845,8.126,15.9,2,4,198.907,2.22,1,0.879,141.8,1.61,3.978,16.8
0,0,1,4.845,8.126,15.9,0,4,198.907,2.197,1,0.846,145.5,1.61,3.978,16.8
0,0,1,4.845,9.126,15.9,10.9,4,198.907,2.248,1,0.926,134.3,1.606,3.978,16.8
0,0,1,4.845,9.126,15.9,8.406,4,198.907,2.255,1,0.935,134.3,1.606,3.978,16.8
0,0,1,4.845,9.126,15.9,6,4,198.907,2.25,1,0.928,135.9,1.606,3.978,16.8
0,0,1,4.845,9.126,15.9,4,4,198.907,2.24,1,0.91,138.3,1.606,3.978,16.8
0,0,1,4.845,9.126,15.9,2,4,198.907,2.223,1,0.884,141.3,1.606,3.978,16.8
0,0,1,4.845,9.126,15.9,0,4,198.907,2.2,1,0.851,145.1,1.606,3.978,16.8
0,0,1,4.845,10.126,15.9,10.9,4,198.907,2.249,1,0.928,134.2,1.605,3.978,16.8
0,0,1,4.845,10.126,15.9,8.406,4,198.907,2.256,1,0.937,134.2,1.605,3.978,16.8
0,0,1,4.845,10.126,15.9,6,4,198.907,2.251,1,0.929,135.8,1.605,3.978,16.8
0,0,1,4.845,10.126,15.9,4,4,198.907,2.241,1,0.912,138.1,1.605,3.978,16.8
0,0,1,4.845,10.126,15.9,2,4,198.907,2.224,1,0.885,141.2,1.605,3.978,16.8
0,0,1,4.845,10.126,15.9,0,4,198.907,2.201,1,0.853,145,1.605,3.978,16.8
0,0,1,4.845,11.126,15.9,10.9,4,198.907,2.248,1,0.926,134.4,1.606,3.978,16.8
0,0,1,4.845,11.126,15.9,8.406,4,198.907,2.255,1,0.936,134.2,1.606,3.978,16.8
0,0,1,4.845,11.126,15.9,6,4,198.907,2.251,1,0.928,135.9,1.606,3.978,16.8
0,0,1,4.845,11.126,15.9,4,4,198.907,2.24,1,0.91,138.2,1.606,3.978,16.8
0,0,1,4.845,11.126,15.9,2,4,198.907,2.223,1,0.884,141.3,1.606,3.978,16.8
0,0,1,4.845,11.126,15.9,0,4,198.907,2.2,1,0.851,145.1,1.606,3.978,16.8
0,0,1,4.845,12.126,15.9,10.9,4,198.907,2.246,1,0.921,134.8,1.611,3.978,16.8
0,0,1,4.845,12.126,15.9,8.406,4,198.907,2.253,1,0.93,134.6,1.611,3.978,16.8
0,0,1,4.845,12.126,15.9,6,4,198.907,2.248,1,0.922,136.2,1.611,3.978,16.8
0,0,1,4.845,12.126,15.9,4,4,198.907,2.238,1,0.905,138.5,1.611,3.978,16.8
